OBJECT_NAME,FIELD_NAME,OBJECT_LABEL,FIELD_LABEL,FIELD_TYPE,FIELD_LENGTH,CREATEABLE,CALCULATED,PICKLIST,REFERENCE
"McLabs2__Buyer_Need2_del__c","McLabs2__Market__c","Buyer's Need","Market","multipicklist","4099","true","false","AK-Anchorage|AL-Birmingham|AL-Huntsville|AL-Mobile|AL-Montgomery|AR-Fayetteville/Springdale/Rogers|AR-Fort Smith|AR-Little Rock/N Little Rock|AZ-Phoenix|AZ-Tucson|CA-Bakersfield|CA-East Bay/Oakland|CA-Fresno|CA-Inland Empire|CA-Los Angeles|CA-Marin/Sonoma|CA-Orange County|CA-Sacramento|CA-Salinas|CA-San Diego|CA-San Francisco|CA-San Luis Obispo/Paso Robles|CA-Santa Barbara/Sta Maria/Goleta|CA-Santa Cruz/Watsonville|CA-South Bay/San Jose|CA-Stockton/Modesto|CA-Visalia/Porterville|CO-Colorado Springs|CO-Denver|CT-Hartford|DC-Washington|FL-Deltona/Daytona Beach|FL-Jacksonville|FL-Ocala|FL-Orlando|FL-Pensacola/Ferry Pass/Brent|FL-Port St Lucie/Fort Pierce|FL-South Florida|FL-Southwest Florida|FL-Tallahassee|FL-Tampa/St. Petersburg|GA-Atlanta|GA-Augusta/Richmond County|GA-Columbus|GA-Savannah|HI-Hawaii|IA-Des Moines|ID-Boise City/Nampa|IL-Chicago|IL-Davenport/Moline/Rock Island|IL-Peoria|IL-Springfield|IN-Evansville|IN-Fort Wayne|IN-Indianapolis|IN-South Bend/Mishawaka|KS-Kansas City|KS-Wichita|KY-Lexington/Fayette|KY-Louisville|LA-Baton Rouge|LA-Lafayette|LA-New Orleans/Metairie/Kenner|LA-Shreveport/Bossier City|MA-Boston|MD-Baltimore|ME-Portland/South Portland|MI-Detroit|MI-Grand Rapids|MN-Duluth|MN-Minneapolis|MO-St. Louis|MS-Jackson|National|NC-Asheville|NC-Charlotte|NC-Fayetteville|NC-Greensboro/Winston-Salem|NC-Raleigh/Durham|NC-Wilmington|NE-Lincoln|NE-Omaha/Council Bluffs|NJ-Northern New Jersey|NM-Albuquerque|NV-Las Vegas|NV-Reno/Sparks|NY-Albany/Schenectady/Troy|NY-Buffalo/Niagara Falls|NY-Long Island|NY-New York City|NY-Rochester|NY-Syracuse|NY-Utica/Rome|OH-Cincinnati/Dayton|OH-Cleveland|OH-Columbus|OH-Toledo|OH-Youngstown/Warren|OK-Oklahoma City|OK-Tulsa|OR-Portland|PA-Erie|PA-Philadelphia|PA-Pittsburgh|RI-Providence|SC-Charleston/N Charleston|SC-Columbia|SC-Greenville/Spartanburg|SC-Myrtle Beach/Conway|TN-Chattanooga|TN-Kingsport/Bristol/Bristol|TN-Knoxville|TN-Memphis|TN-Nashville|TX-Austin|TX-Beaumont/Port Arthur|TX-Brownsville/Harlingen|TX-Corpus Christi|TX-Dallas/Fort Worth|TX-El Paso|TX-Houston|TX-Killeen/Temple/Fort Hood|TX-Lubbock|TX-McAllen/Edinburg/Pharr|TX-San Antonio|UT-Salt Lake City|VA-Hampton Roads|VA-Richmond|VA-Roanoke|WA-Bremerton|WA-Olympia|WA-Seattle/Puget Sound|WA-Spokane|WA-Yakima|WI-Green Bay|WI-Milwaukee/Madison|WV-Charleston|WV-Huntington/Ashland",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Minimum_Cash_on_cash__c","Buyer's Need","Minimum Cash-on-cash","percent","0","true","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Minimum_CAP_Rate__c","Buyer's Need","Minimum CAP Rate","percent","0","true","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Minimum_IRR__c","Buyer's Need","Minimum IRR","percent","0","true","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Minimum_Purchase_Price_Actual__c","Buyer's Need","Minimum Purchase Price","currency","0","true","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Minimum_Purchase_Price__c","Buyer's Need","Minimum Square Footage","double","0","true","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Minimum_LIRR__c","Buyer's Need","Minimum LIRR","percent","0","true","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Product_Type__c","Buyer's Need","Product Type","multipicklist","4099","true","false","Hotel|Industrial|Multi-Family|Office|Retail|Self-Storage",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Maximum_Square_Footage__c","Buyer's Need","Maximum Square Footage","double","0","true","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Maximum_Purchase_Price__c","Buyer's Need","Maximum Purchase Price","currency","0","true","false","",""
"McLabs2__Buyer_Need2_del__c","Loan_Program__c","Buyer's Need","Loan Program","multipicklist","4099","true","false","CMBS|Conventional|Balance Sheet|Bridge|Life",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Import_Batch_ID__c","Buyer's Need","Import Batch ID","string","18","true","false","",""
"McLabs2__Buyer_Need2_del__c","McLabs2__Imported_Date__c","Buyer's Need","Imported Date","date","0","true","false","",""
"McLabs2__Property__c","OwnerId","Property","Owner ID","reference","18","true","false","","GroupUser"
"McLabs2__Property__c","Name","Property","Property Name","string","80","true","false","",""
"McLabs2__Property__c","IsDeleted","Property","Deleted","boolean","0","false","false","",""
"McLabs2__Property__c","CreatedDate","Property","Created Date","datetime","0","false","false","",""
"McLabs2__Property__c","RecordTypeId","Property","Record Type ID","reference","18","true","false","","RecordType"
"McLabs2__Property__c","CreatedById","Property","Created By ID","reference","18","false","false","","User"
"McLabs2__Property__c","LastModifiedDate","Property","Last Modified Date","datetime","0","false","false","",""
"McLabs2__Property__c","LastModifiedById","Property","Last Modified By ID","reference","18","false","false","","User"
"McLabs2__Property__c","LastViewedDate","Property","Last Viewed Date","datetime","0","false","false","",""
"McLabs2__Property__c","SystemModstamp","Property","System Modstamp","datetime","0","false","false","",""
"McLabs2__Property__c","LastReferencedDate","Property","Last Referenced Date","datetime","0","false","false","",""
